signal_id,date,ticker,direction,entry,sl,tp,shares,capital,confidence,status,exit_price,exit_reason,pnl,pnl_pct,closed_date
599ed72f,2026-04-09,PRIO3.SA,BUY,66.9935,66.3235,68.3333,28,9588.95,0.556,closed,66.3235,SL,-18.76,-1.0,2026-04-17
c090f45a,2026-04-09,ITUB4.SA,BUY,45.3126,44.8595,46.2189,42,9588.95,0.6402,closed,46.2189,TP,38.06,2.0,2026-04-17
719070a0,2026-04-09,VIVT3.SA,SELL,42.5487,42.9742,41.6977,45,9588.95,0.5559,closed,42.9742,SL,-19.15,-1.0,2026-04-17
a0065bb5,2026-04-13,PRIO3.SA,BUY,68.2041,67.522,69.5682,28,9588.95,0.7483,closed,67.522,SL,-19.1,-1.0,2026-04-24
43259906,2026-04-13,VIVT3.SA,BUY,42.071,41.6503,42.9124,45,9588.95,0.5659,closed,41.6503,SL,-18.93,-1.0,2026-04-24
0bae66f2,2026-04-14,PRIO3.SA,BUY,64.8024,64.1544,66.0984,29,9588.95,0.8118,closed,64.1544,SL,-18.79,-1.0,2026-04-24
9a5ef9c8,2026-04-14,LREN3.SA,BUY,15.928,15.7687,16.2465,120,9588.95,0.5962,closed,15.7687,SL,-19.12,-1.0,2026-04-24
4cab476e,2026-04-15,PRIO3.SA,BUY,63.4617,62.8271,64.7309,30,9588.95,0.6099,closed,64.7309,TP,38.08,2.0,2026-04-24
bcf962d0,2026-04-15,VIVT3.SA,BUY,41.6608,41.2442,42.494,46,9588.95,0.5945,closed,41.2442,SL,-19.16,-1.0,2026-04-24
136db025,2026-04-17,PRIO3.SA,BUY,59.4697,58.875,60.6591,32,9588.95,0.711,closed,60.6591,TP,38.06,2.0,2026-04-24
3f5bf607,2026-04-17,KLBN11.SA,BUY,18.9395,18.7501,19.3183,101,9588.95,0.6249,closed,18.7501,SL,-19.13,-1.0,2026-04-24
16e00fbc,2026-04-20,ITUB4.SA,BUY,46.6533,46.1868,48.0529,41,9588.95,0.722,closed,46.1868,SL,-19.13,-1.0,2026-05-01
35354322,2026-04-22,SUZB3.SA,BUY,47.6638,47.1872,49.0937,40,9588.95,0.7496,closed,47.1872,SL,-19.06,-1.0,2026-05-01
7732807e,2026-04-22,BBAS3.SA,BUY,23.6418,23.4054,24.3511,81,9588.95,0.6007,closed,23.4054,SL,-19.15,-1.0,2026-05-01
bf8e7fa5,2026-04-23,EQTL3.SA,BUY,43.982,43.5422,45.3014,43,9588.95,0.6701,closed,43.5422,SL,-18.91,-1.0,2026-05-01
80f5b54e,2026-04-27,LREN3.SA,BUY,13.977,13.8372,14.3963,137,9588.95,0.7079,closed,13.8372,SL,-19.15,-1.0,2026-05-08
9435cec4,2026-04-27,VIVT3.SA,SELL,39.96,40.3596,38.7612,47,9588.95,0.7199,closed,38.7612,TP,56.34,3.0,2026-05-08
10d6ccdd,2026-04-27,KLBN11.SA,SELL,17.981,18.1608,17.4416,106,9588.95,0.6003,closed,17.4416,TP,57.18,3.0,2026-05-08
38e27aa2,2026-04-28,PRIO3.SA,SELL,64.3978,65.0418,62.4659,29,9588.95,0.6541,closed,65.0418,SL,-18.68,-1.0,2026-05-08
8268b300,2026-05-04,ITUB4.SA,SELL,42.6986,43.1256,41.4177,44,9588.95,0.7058,closed,43.1256,SL,-18.79,-1.0,2026-05-22
f4038f45,2026-05-04,BBAS3.SA,SELL,22.059,22.2796,21.3972,86,9588.95,0.8356,closed,22.2796,SL,-18.97,-1.0,2026-05-22
02126c09,2026-05-06,SUZB3.SA,SELL,43.0485,43.4789,41.757,44,9588.95,0.888,closed,43.4789,SL,-18.94,-1.0,2026-05-22
7a978136,2026-05-06,EQTL3.SA,SELL,43.4683,43.9029,42.1642,44,9588.95,0.769,closed,42.1642,TP,57.38,3.0,2026-05-22
9ccaa013,2026-05-20,LREN3.SA,SELL,13.6332,13.7695,13.2242,140,9588.95,0.8505,closed,13.7695,SL,-19.08,-1.0,2026-05-29
092f67b7,2026-05-20,VIVT3.SA,SELL,34.5727,34.9184,33.5355,55,9588.95,0.6184,closed,33.5355,TP,57.05,3.0,2026-05-29
15ead771,2026-05-20,KLBN11.SA,SELL,16.092,16.2529,15.6092,119,9588.95,0.9258,closed,16.2529,SL,-19.15,-1.0,2026-05-29
905662ab,2026-05-25,PRIO3.SA,BUY,66.2131,65.551,68.1995,28,9588.95,0.6319,closed,65.551,SL,-18.54,-1.0,2026-06-05
de482406,2026-05-25,SUZB3.SA,BUY,41.6408,41.2244,42.89,46,9588.95,0.6514,closed,41.2244,SL,-19.15,-1.0,2026-06-05
46eba6dc,2026-05-25,ITUB4.SA,SELL,40.0999,40.5009,38.8969,47,9588.95,0.8044,closed,40.5009,SL,-18.85,-1.0,2026-06-05
2ca5d527,2026-05-25,BBAS3.SA,SELL,21.3893,21.6032,20.7476,89,9588.95,0.8985,closed,20.7476,TP,57.11,3.0,2026-06-05
b512f657,2026-05-26,EQTL3.SA,SELL,38.2908,38.6738,37.1421,50,9588.95,0.7059,closed,38.6738,SL,-19.15,-1.0,2026-06-05
4e28c1e0,2026-06-01,KLBN11.SA,SELL,16.6217,16.7879,16.123,115,9588.95,0.6262,closed,16.7879,SL,-19.11,-1.0,2026-06-12
66c62894,2026-06-02,LREN3.SA,SELL,15.3823,15.5361,14.9208,124,9588.95,0.7485,closed,14.9208,TP,57.23,3.0,2026-06-12
20a3d88b,2026-06-02,VIVT3.SA,SELL,33.7031,34.0402,32.692,56,9588.95,0.8912,closed,33.86,TIME,-8.79,-0.47,2026-06-12
b8b20db1,2026-06-08,PRIO3.SA,SELL,62.2389,62.8613,60.3717,30,9588.95,0.6836,closed,62.8613,SL,-18.67,-1.0,2026-06-19
d538829d,2026-06-08,SUZB3.SA,SELL,41.7891,42.207,40.5354,45,9588.95,0.9792,closed,42.207,SL,-18.81,-1.0,2026-06-19
92b88823,2026-06-08,ITUB4.SA,SELL,38.6107,38.9968,37.4524,49,9588.95,0.6667,closed,38.9968,SL,-18.92,-1.0,2026-06-19
f4fb2c5e,2026-06-09,EQTL3.SA,SELL,38.8606,39.2492,37.6947,49,9588.95,0.8208,closed,37.6947,TP,57.13,3.0,2026-06-19
a111c3b6,2026-06-09,BBAS3.SA,BUY,19.2496,19.0571,19.8271,99,9588.95,0.6226,closed,19.0571,SL,-19.06,-1.0,2026-06-19
1db82ac1,2026-06-15,LREN3.SA,SELL,15.3423,15.4957,14.8821,124,9588.95,0.7074,closed,14.8821,TP,57.06,3.0,2026-06-26
5018f621,2026-06-15,VIVT3.SA,SELL,33.5032,33.8383,32.4981,57,9588.95,0.7424,closed,32.4981,TP,57.29,3.0,2026-06-26
865029e9,2026-06-15,KLBN11.SA,SELL,17.2114,17.3835,16.695,111,9588.95,0.6172,closed,16.695,TP,57.32,3.0,2026-06-26
9054eb44,2026-06-22,PRIO3.SA,SELL,56.6717,57.2384,54.9715,33,9588.95,0.7574,closed,54.9715,TP,56.11,3.0,2026-07-03
1ade705f,2026-06-22,SUZB3.SA,SELL,42.2589,42.6814,40.9911,45,9588.95,0.8825,closed,40.9911,TP,57.05,3.0,2026-07-03
f24bce10,2026-06-22,EQTL3.SA,SELL,37.5612,37.9368,36.4344,51,9588.95,0.6144,closed,37.9368,SL,-19.16,-1.0,2026-07-03
22566c2c,2026-06-22,BBAS3.SA,SELL,19.5802,19.776,18.9928,97,9588.95,0.5876,closed,19.776,SL,-18.99,-1.0,2026-07-03
1179c303,2026-06-23,ITUB4.SA,SELL,41.0495,41.46,39.818,46,9588.95,0.6423,closed,41.46,SL,-18.88,-1.0,2026-07-03
236dee58,2026-06-29,LREN3.SA,SELL,15.0425,15.1929,14.5912,127,9588.95,0.8996,closed,14.5912,TP,57.32,3.0,2026-07-10
e5ab8a20,2026-06-29,VIVT3.SA,SELL,34.2928,34.6358,33.2641,55,9588.95,0.6223,closed,34.6358,SL,-18.87,-1.0,2026-07-10
4c185cc9,2026-06-29,KLBN11.SA,SELL,16.8516,17.0201,16.346,113,9588.95,0.7232,closed,17.0201,SL,-19.04,-1.0,2026-07-10
c2fb2592,2026-07-06,PRIO3.SA,SELL,53.0335,53.5638,51.4425,36,9588.95,0.7081,open,,,,,
6197f762,2026-07-06,SUZB3.SA,BUY,40.6203,40.2141,41.8389,47,9588.95,0.6448,open,,,,,
4b395739,2026-07-06,EQTL3.SA,SELL,38.8905,39.2795,37.7238,49,9588.95,0.7777,open,,,,,
9bfe05a3,2026-07-06,ITUB4.SA,SELL,42.2389,42.6613,40.9717,45,9588.95,0.8361,open,,,,,
08e74a05,2026-07-06,BBAS3.SA,SELL,19.7601,19.9577,19.1673,97,9588.95,0.6031,open,,,,,
4dd9a522,2026-07-13,LREN3.SA,BUY,14.4772,14.4048,14.7378,132,9588.95,0.6842,open,,,,,,v2_trend_filter_ticker_params
18ef82ea,2026-07-13,VIVT3.SA,SELL,35.3223,35.4989,34.6865,54,9588.95,0.6128,open,,,,,,v2_trend_filter_ticker_params
b082d03e,2026-07-13,KLBN11.SA,SELL,17.5912,17.6792,17.2746,109,9588.95,0.9337,open,,,,,,v2_trend_filter_ticker_params
f39a14ee,2026-07-14,LREN3.SA,SELL,14.1029,14.1735,13.8491,135,9588.95,0.6172,open,,,,,,v2_trend_filter_ticker_params
1bbbec19,2026-07-14,VIVT3.SA,SELL,35.2324,35.4085,34.5982,54,9588.95,0.9056,open,,,,,,v2_trend_filter_ticker_params
0b338690,2026-07-14,KLBN11.SA,SELL,17.3313,17.418,17.0194,110,9588.95,0.8078,open,,,,,,v2_trend_filter_ticker_params
517419c7,2026-07-14,BBAS3.SA,SELL,20.4498,20.552,20.2044,93,9588.95,0.6648,open,,,,,,v2_trend_filter_ticker_params
7f5328d1,2026-07-15,SUZB3.SA,SELL,41.6192,41.8273,41.1197,46,9588.95,0.6017,open,,,,,,v2_trend_filter_ticker_params
900408ef,2026-07-15,KLBN11.SA,SELL,17.4713,17.5586,17.1568,109,9588.95,0.7144,open,,,,,,v2_trend_filter_ticker_params
746aa94a,2026-07-16,LREN3.SA,SELL,13.8431,13.9123,13.5939,138,9588.95,0.6566,open,,,,,,v2_trend_filter_ticker_params
dd468f66,2026-07-16,SUZB3.SA,SELL,41.8491,42.0583,41.3469,45,9588.95,0.8843,open,,,,,,v2_trend_filter_ticker_params
41a59194,2026-07-16,VIVT3.SA,SELL,35.4123,35.5893,34.7749,54,9588.95,0.7997,open,,,,,,v2_trend_filter_ticker_params
b8d4a7c3,2026-07-16,KLBN11.SA,SELL,17.5012,17.5888,17.1862,109,9588.95,0.6562,open,,,,,,v2_trend_filter_ticker_params
c9fe434c,2026-07-16,BBAS3.SA,SELL,20.6397,20.7429,20.392,92,9588.95,0.7269,open,,,,,,v2_trend_filter_ticker_params
3945e2b6,2026-07-17,SUZB3.SA,SELL,41.969,42.1789,41.4654,45,9588.95,0.9572,open,,,,,,v2_trend_filter_ticker_params
bb61c723,2026-07-17,VIVT3.SA,SELL,35.6822,35.8606,35.0399,53,9588.95,0.6899,open,,,,,,v2_trend_filter_ticker_params
7350ffd5,2026-07-17,KLBN11.SA,SELL,17.4513,17.5385,17.1371,109,9588.95,0.6679,open,,,,,,v2_trend_filter_ticker_params
86a98be9,2026-07-20,SUZB3.SA,SELL,41.7991,42.0081,41.2975,45,9588.95,0.6569,open,,,,,,v2_trend_filter_ticker_params
2bdb11fc,2026-07-20,BBAS3.SA,SELL,20.3398,20.4415,20.0957,94,9588.95,0.7104,open,,,,,,v2_trend_filter_ticker_params
56f9fcd1,2026-07-21,SUZB3.SA,SELL,41.7591,41.9679,41.258,45,9588.95,0.7446,open,,,,,,v2_trend_filter_ticker_params
70fc4bca,2026-07-21,BBAS3.SA,SELL,20.2099,20.3109,19.9674,94,9588.95,0.6717,open,,,,,,v2_trend_filter_ticker_params
57905e17,2026-07-22,LREN3.SA,SELL,13.5032,13.5708,13.2602,142,9588.95,0.5995,open,,,,,,v2_trend_filter_ticker_params
191f5304,2026-07-22,VIVT3.SA,SELL,35.4423,35.6195,34.8043,54,9588.95,0.7729,open,,,,,,v2_trend_filter_ticker_params
2001d44f,2026-07-22,KLBN11.SA,SELL,17.7811,17.87,17.461,107,9588.95,0.6171,open,,,,,,v2_trend_filter_ticker_params
fb9f6003,2026-07-22,BBAS3.SA,SELL,20.7996,20.9036,20.55,92,9588.95,0.7631,open,,,,,,v2_trend_filter_ticker_params
071c1995,2026-07-23,LREN3.SA,SELL,13.3833,13.4502,13.1424,143,9588.95,0.6434,open,,,,,,v2_trend_filter_ticker_params
7294794f,2026-07-23,VIVT3.SA,SELL,34.9425,35.1172,34.3136,54,9588.95,0.8248,open,,,,,,v2_trend_filter_ticker_params
1fce4161,2026-07-23,BBAS3.SA,SELL,20.9795,21.0844,20.7278,91,9588.95,0.8247,open,,,,,,v2_trend_filter_ticker_params
d0d4b11b,2026-07-24,LREN3.SA,SELL,13.2734,13.3397,13.0344,144,9588.95,0.6531,open,,,,,,v2_trend_filter_ticker_params
a20e791e,2026-07-24,SUZB3.SA,SELL,41.949,42.1588,41.4456,45,9588.95,0.8268,open,,,,,,v2_trend_filter_ticker_params
1bffdb22,2026-07-24,VIVT3.SA,SELL,35.0924,35.2679,34.4608,54,9588.95,0.8843,open,,,,,,v2_trend_filter_ticker_params
c6cec1b7,2026-07-24,KLBN11.SA,SELL,17.3913,17.4783,17.0783,110,9588.95,0.6477,open,,,,,,v2_trend_filter_ticker_params
9026b60a,2026-07-24,BBAS3.SA,SELL,20.6897,20.7931,20.4414,92,9588.95,0.6518,open,,,,,,v2_trend_filter_ticker_params
848bb003,2026-07-27,PRIO3.SA,BUY,56.7384,56.4547,57.7596,33,9588.95,0.7541,open,,,,,,v2_trend_filter_ticker_params
d112f689,2026-07-27,LREN3.SA,SELL,13.5832,13.6511,13.3387,141,9588.95,0.8143,open,,,,,,v2_trend_filter_ticker_params
f4104396,2026-07-27,SUZB3.SA,SELL,41.7191,41.9277,41.2185,45,9588.95,0.6783,open,,,,,,v2_trend_filter_ticker_params
c3422c38,2026-07-27,EQTL3.SA,SELL,38.6307,38.8238,37.6649,49,9588.95,0.7174,open,,,,,,v2_trend_filter_ticker_params
a59a6c98,2026-07-27,VIVT3.SA,SELL,36.062,36.2423,35.4128,53,9588.95,0.8211,open,,,,,,v2_trend_filter_ticker_params
